Actor Target ActorPosX ActorPosY Time
WWR_ WG__ 255 359 584
WWR_ ZZZZ 238 377 755
WYYG W_GY 356 272 1630
WYYG WGGW 311 348 1677
AAAA W_GY 319 244 253
AAAA WYYG 292 297 265
AAAA WYYG 285 299 271
AAAA W_W_ 290 315 275
AAAA WYYG 288 292 276
AAAA W_W_ 293 298 277
AAAA WYYG 291 293 310
AAAA W_W_ 298 299 314
AAAA WYYG 285 290 326
AAAA WWGY 294 276 340
AAAA _R__ 303 108 377
AAAA WBGW 273 95 385
AAAA _R__ 325 111 485
AAAA WYYB 304 144 479
AAAA WBYY 321 75 491
AAAA WBGW 302 83 493
AAAA WBYY 318 76 501
AAAA WWGY 337 85 510
AAAA WYRW 359 107 527
AAAA WYG_ 410 164 562
AAAA XXXX 488 288 693
AAAA WY_G 518 395 768
AAAA WYY_ 564 443 818
AAAA WY_G 513 403 841
AAAA JJJJ 495 264 1405
AAAA WYG_ 469 254 1410
AAAA WRWB 488 176 1660
AAAA JJJJ 486 232 1649
W_W_ WWR_ 295 355 210
W_W_ WWR_ 275 347 235
W_W_ AAAA 303 307 267
W_W_ WRWB 401 202 549
W_W_ WYRW 357 166 596
W_W_ WBGG 311 204 623
W_W_ W_GY 332 280 668
W_W_ WBGG 339 260 1083
W_W_ W_GY 319 291 1094
W_W_ WYYG 314 260 277
W_W_ WYYG 300 291 1773
W_WG W_W_ 244 207 127
W_WG WBGG 264 175 141
W_WG AAAA 264 235 322
W_WG W_W_ 306 291 352
W_WG WWR_ 282 357 376

W_WG WWR_ 270 403 845
W_WG WWR_ 236 353 1411
WBGG WGYW 350 127 867
WBGG W_RG 367 206 990
WBGG WYYB 335 203 1043
WBGG W_RG 370 206 1049
WBGG WWGY 275 226 1125
WBGG WYG_ 406 203 1200
WBGG WGG_ 531 203 1233
WBGG XXXX 465 270 1256
WBGG W_GY 386 261 1306
WBGG WY_G 392 249 1309
WBGG W_GY 387 249 1312
WBGG W_GY 352 220 1529
WYRW WYYB 329 166 105
WYRW WGYW 384 122 120
WYRW HHHH 375 113 125
WYRW _R__ 346 113 356
WYRW _R__ 346 113 358
WYRW WG__ 376 138 414
WYRW WYG_ 390 146 427
WYRW WGYW 375 112 523
WYRW WWGY 379 127 576
WYRW WYYB 290 154 614
WYRW WBGG 290 154 616
WYRW WBGW 290 139 629
WYRW WBGW 291 107 736
WYRW _R__ 313 124 779
WYRW WYYB 258 152 850
WYRW WYYB 236 185 906
WYRW W_RG 354 183 931
WYRW WW__ 360 246 966
WYRW WGGW 385 383 1072
WYRW WGGY 398 438 1089
WYRW WG__ 367 440 1091
WYRW WG__ 348 451 1089
WYRW WGGY 376 467 1112
WYRW WGGG 472 476 1142
WYRW WWY_ 383 431 1270
WYRW W_GY 343 239 1288
WYRW WGYW 361 215 1289
WYRW WY_G 361 215 1293
WYRW W_RG 369 189 1300
WYRW WGRB 389 130 1502
WYRW WW__ 440 62 1527
WYRW WRGG 504 92 1553
WYRW _Y_B 468 79 1567
WYRW WGG_ 410 152 1632
WYRW _Y_B 454 78 1648

WYRW WGYW 445 79 1654
WYRW _Y_B 452 69 1734
WYRW WBWY 439 76 1750
WYRW _Y_B 457 84 1730
WYRW WW__ 457 71 1758
WYRW WYG_ 500 59 1764
WYRW WGRB 505 73 1766
WYRW WYWY 555 97 1771
WYRW _YYY 567 62 1775
WYYB WBGG 281 159 131
WYYB WBGW 284 134 138
WYYB WBGG 306 157 501
WYYB WBGG 283 164 636
WYYB WYRW 283 164 639
WYYB WYRW 286 160 825
WYYB WBGG 276 172 831
WYYB WGYW 274 162 991
WYYB W_RG 363 190 1040
WYYB WYRW 312 131 1064
WYYB WWGY 290 112 1555
WYYB W_W_ 295 240 1755
WBGW WYYR 255 86 242
WBGW WYRW 307 124 309
WBGW WBGG 307 132 312
WBGW WYYB 294 135 314
WBGW EEEE 281 93 335
WBGW FFFF 293 88 336
WBGW WYRW 279 78 339
WBGW _R__ 304 125 619
WBGW _R__ 313 108 649
WBGW WGYW 363 111 943
WBGW WBYY 339 77 970
WBGW WYYR 341 88 973
WBGW WBYY 329 69 976
WBGW WYYR 295 96 1006
WBGW WGYW 268 99 1192
WBGW WWGY 247 70 1504
WBGW WWGY 247 70 1509
WBGW WBYY 247 108 1758
WYYR _R__ 239 126 128
WYYR W_WG 246 159 138
WYYR _R__ 233 126 149
WYYR W_W_ 248 204 167
WYYR EEEE 264 77 845
WYYR WBGW 299 89 853
WYYR FFFF 299 89 866
WYYR _R__ 301 78 888
WYYR _R__ 314 72 926
WYYR WBYY 362 66 1580

WYYR _R__ 362 87 1627
EEEE WBGW 245 70 336
WWY_ W_GY 353 396 190
WWY_ W_GY 328 427 212
WWY_ W_W_ 297 374 223
WWY_ W_W_ 313 353 225
WWY_ W_GY 331 366 233
WWY_ WGGY 402 406 404
WWY_ WGGY 376 420 410
WWY_ W_WG 322 416 761
WWY_ WGGW 353 384 853
WWY_ WW__ 327 356 1016
WWY_ WYRW 372 338 1034
WWY_ WBGG 357 253 1049
WWY_ PPPP 514 253 1070
WWY_ JJJJ 492 209 1080
WWY_ WYG_ 445 244 1158
WWY_ XXXX 462 264 1159
WWY_ WYG_ 431 258 1164
WWY_ WG__ 484 209 1190
WWY_ XXXX 480 262 1208
WWY_ WYG_ 439 245 1228
WWY_ XXXX 452 271 1230
WWY_ WGGW 348 375 1257
WWY_ WGGW 374 337 1305
WWY_ WYG_ 422 276 1314
WWY_ XXXX 483 203 1321
WWY_ WRWB 505 190 1323
WWY_ WGG_ 436 179 1351
WWY_ WYG_ 467 236 1361
WWY_ PPPP 481 235 1364
WWY_ WRWB 503 206 1365
WWY_ MMMM 439 400 1378
WWY_ AAAA 509 400 1380
WWY_ WYY_ 553 481 1394
WWY_ WGGW 435 337 1496
WWY_ W_GY 341 251 1679
_R__ FFFF 329 105 58
_R__ WYRW 306 134 72
_R__ WYRW 306 96 222
_R__ WYRW 322 91 338
_R__ WYYR 324 89 888
_R__ WWGY 390 86 1602
_R__ AAAA 390 99 1749
W_GY WWY_ 371 405 133
W_GY WGGY 384 416 166
W_GY WGG_ 414 389 178
W_GY WWY_ 377 407 191
W_GY WGGY 374 425 200

W_GY WWY_ 347 414 212
W_GY WYYG 277 240 252
W_GY WBGG 309 211 263
W_GY WYYB 294 173 270
W_GY WWGY 319 279 344
W_GY WGGW 357 301 362
W_GY WGGY 413 409 453
W_GY WGGY 422 436 489
W_GY W_W_ 347 264 522
W_GY AAAA 333 259 549
W_GY WYYG 281 304 641
WGGY WGG_ 442 471 615
WGGY WGG_ 449 471 626
WGGY W_WG 378 479 692
WGGY WG__ 395 479 935
WGGY WWR_ 247 421 1350
WGG_ XXXX 517 347 291
WGG_ WY_G 504 304 294
WGG_ XXXX 517 337 296
WGG_ MMMM 524 417 307
WGG_ WYBG 539 431 310
WGG_ UUUU 579 414 339
WGG_ WYBG 527 343 360
WGG_ PPPP 505 273 367
WGG_ _YYY 545 179 402
WGG_ WYBG 550 179 501
WGG_ XXXX 528 261 514
WGG_ OOOO 543 268 537
WGG_ OOOO 548 268 557
WGG_ W__W 535 240 572
WGG_ W_W_ 364 270 733
WGG_ WGGW 396 369 861
WGG_ JJJJ 446 337 879
WGG_ WYG_ 451 337 895
WGG_ JJJJ 463 336 904
WGG_ WYG_ 418 261 1141
WGG_ WYG_ 398 243 1168
WGG_ WWY_ 439 266 1184
