Actor Target ActorPosX ActorPosY Time
RWY_ WWYW 190 253 1186
RWY_ WWYW 155 281 1188
RWY_ _WWR 174 246 1190
RWY_ WWYW 106 288 1210
RWY_ WWYW 112 264 1277
RWY_ ____(3) 228 234 1327
RWY_ _BWW 381 302 1390
RWY_ ____(1) 379 267 1418
RWY_ ____(3) 284 242 1431
RWY_ GG_W 382 287 1440
RWY_ WWGW 378 310 1446
RWY_ ____(1) 395 285 1452
RWY_ WWGW 381 281 1457
RWY_ YWG_ 337 369 1465
RWY_ ____(3) 323 377 1480
RWY_ _BWW 336 355 1509
RWY_ _BWW 446 335 1864
RWY_ YYWW 446 335 1866
G___ RWY_ 100 301 1
G___ WWYW 115 332 1251
_GBB ____(3) 103 410 288
_GBB RWY_ 101 346 315
_GBB G___ 110 308 353
_GBB ____(1) 160 415 398
_GBB ____(1) 190 496 428
_GBB YWG_ 267 496 441
_GBB __B_ 409 223 455
_GBB WYWG 432 229 478
_GBB ____(2) 452 274 493
_GBB ____(3) 422 268 506
_GBB ____(1) 327 341 517
_GBB WWYG 373 378 689
_GBB YWG_ 318 396 822
_GBB ____(3) 312 300 842
_GBB __B_ 427 215 904
_GBB BBRR 249 312 968
_GBB WWYW 262 338 975
_GBB YYWW 345 339 996
_GBB BBRR 369 305 1002
_GBB YYWW 416 323 1007
_GBB WWYW 432 279 1018
_GBB ____(2) 549 287 1023
_GBB WW__ 615 287 1033
_GBB WWYG 656 218 1045
_GBB WYBB 750 419 1105
_GBB WWGR 816 393 1110
_GBB WW__ 872 334 1115
_GBB WWYG 707 239 1129

_GBB ____(1) 646 250 1145
_GBB WYWG 701 229 1222
_GBB ____(3) 535 228 1400
_GBB WYWG 533 212 1427
_GBB __G_ 533 212 1430
_GBB YYWW 548 248 1442
_GBB WWRB 541 207 1658
_GBB _WWR 668 290 1683
_GBB ____(2) 656 279 1696
_GBB WBYR 745 224 1852
WWYW WGGR 181 334 68
WWYW WGGR 315 313 180
WWYW _BWW 315 313 181
WWYW WGGR 161 344 345
WWYW WGGR 237 340 511
WWYW WGGR 192 329 552
WWYW YYWW 260 330 573
WWYW _WWR 561 331 600
WWYW WWGB 622 310 610
WWYW WWRB 622 310 610
WWYW BBRR 648 483 634
WWYW YWWB 648 385 635
WWYW WWGB 648 385 636
WWYW WWYG 642 301 644
WWYW WWGR 681 234 649
WWYW WWYG 650 287 652
WWYW _WWR 612 335 654
WWYW WGRY 598 332 750
WWYW WYWG 598 257 754
WWYW GG_W 318 309 793
WWYW WGGR 175 243 828
WWYW RWY_ 137 299 870
WWYW YYWW 231 470 883
WWYW WGGR 231 470 885
WWYW BBRR 236 621 968
WWYW YWG_ 318 390 1027
WWYW _WW_ 304 411 1091
WWYW BBRR 484 355 1559
WWYW GG_W 498 307 1562
WWYW ____(1) 461 301 1568
WWYW _BWW 477 317 1616
WWYW BBRR 452 333 1620
WWYW RWY_ 452 333 1620
WWYW WWGW 419 300 1627
WWYW YWG_ 329 405 1634
WWYW BBRR 139 322 1852
____(1) WWYW 236 337 228
