Actor Target ActorPosX ActorPosY Time
_W_R _WGY 276 66 82
_W_R WRRY 264 46 268
_W_R WRRY 264 85 283
_W_R WRRY 266 88 285
_W_R WRRY 256 88 289
_W_R _GWY 251 89 348
_W_R WRRY 279 126 359
_W_R _GWY 277 122 637
_W_R _GWY 278 119 656
_W_R _WGY 300 109 700
_W_R _GWY 251 71 722
_W_R W_WR 286 115 844
_W_R W_WR 287 108 892
_W_R G_RG 287 105 937
_W_R YY__ 297 104 945
_W_R YY_W 288 100 975
_W_R YY_W 281 103 1039
_W_R _WWY 284 104 1132
_W_R YY__ 283 106 1153
_W_R YY__ 281 102 1203
_W_R YY__ 270 101 1412
_W_R ____hidden 281 90 1448
_W_R _GWY 271 124 1458
_W_R Y___ 235 129 1494
_W_R ____hidden 252 103 1496
_W_R W___ 343 43 1592
_W_R ____hidden 314 50 1606
_W_R _WRW 317 44 1647
_WRW WRRY 204 132 87
_WRW WRRY 174 111 145
_WRW YY__ 186 189 269
_WRW _GWY 185 164 370
_WRW _GWY 250 59 770
_WRW _GWY 274 75 1192
_WRW W___ 313 75 1282
_WRW _W_R 286 79 1285
_WRW YY__ 316 45 1432
_WRW YY__ 299 33 1454
_WRW _W_R 292 35 1504
_WRW W___ 396 40 1528
_WRW _RWG 428 40 1540
_WRW _W__ 423 75 1563
_WRW G_RG 429 55 1619
_WRW _W_R 347 37 1642
_WRW ____hidden 307 54 1650
_WRW YY__ 176 50 1720
_WRW ____hidden 172 96 1738
Y___ GR_W 195 190 87

Y___ _WRW 193 134 335
Y___ _GWY 186 135 353
Y___ W_WR 328 115 440
Y___ _W_R 283 136 454
Y___ WRRY 260 200 461
Y___ _WRW 194 174 488
Y___ GR_W 234 183 848
Y___ YY__ 224 173 1404
Y___ _GWY 220 170 1498
Y___ GR_W 219 176 1621
WRRY GR_W 240 187 121
WRRY _WRW 201 105 142
WRRY Y___ 214 127 273
WRRY _W_R 246 108 285
WRRY _W_R 239 101 287
WRRY _W_R 283 150 357
WRRY Y___ 259 202 461
WRRY GGGG 289 283 503
WRRY GGGG 287 351 589
WRRY WGGB 311 442 636
WRRY GBGR 334 426 660
WRRY YYRR 289 433 702
WRRY GGGG 293 356 758
WRRY GB__ 288 352 787
WRRY GGGG 316 332 855
WRRY GGGG 298 339 916
WRRY GB__ 283 339 939
WRRY GG_W 308 334 1655
WRRY GB__ 272 337 1680
WRRY YYRR 293 328 1687
WRRY GB__ 266 321 1708
GR_W ____hidden 228 236 48
GR_W Y___ 206 218 85
GR_W WRRY 246 212 121
GR_W ____hidden 254 222 123
GR_W Y___ 251 185 139
GR_W _R__ 199 343 403
GR_W _R__ 191 382 449
GR_W GYG_ 231 378 727
GR_W YY__ 244 347 752
GR_W GB__ 273 317 755
GR_W ____hidden 235 213 827
GR_W Y___ 252 213 842
GR_W _WWY 224 204 1110
GR_W Y___ 232 199 1344
GR_W Y___ 220 205 1600
GR_W Y___ 221 194 1623
GR_W YYRB 250 205 1684
GR_W _WWY 478 135 1719

GR_W YGWY 511 137 1728
____hidden GR_W 232 248 49
____hidden YY__ 218 269 241
____hidden YYG_ 234 273 250
____hidden YY__ 219 263 272
____hidden YYG_ 224 266 354
____hidden GR_W 221 267 389
____hidden YYG_ 213 289 426
____hidden WRRY 250 210 470
____hidden Y___ 196 204 511
____hidden Y___ 273 148 933
____hidden _W_R 278 129 945
____hidden YY__ 250 164 963
____hidden YY__ 235 275 1023
____hidden Y___ 261 185 1040
____hidden _W_R 239 106 1049
